Symbol ,Series ,LTP ,%chng ,New 52W/H price ,Prev.High ,Prev. High Date 
ABINFRA,BE,204.5,1.38,211.79,204.54,02-Sep-2025
AHCL,BE,91.7,-0.33,92.5,0,-
AKIKO,ST,176.4,5,176.4,175.05,29-Aug-2025
AMCL,SM,231.75,4.77,233.95,233,02-Sep-2025
ANONDITA,ST,318.85,4.99,318.85,303.7,02-Sep-2025
APOLLO,EQ,301.7,3.07,306.45,298.5,02-Sep-2025
AXISGOLD,EQ,88.9,1.6,89.95,89,02-Sep-2025
BALAJIPHOS,SM,179.6,-2.29,184.7,183.85,22-Aug-2025
BALAJITELE,BE,105.72,5,105.72,102.15,02-Sep-2025
BARFLEX,ST,79,1.02,79.05,78.9,02-Sep-2025
BGRENERGY,BE,191.4,1.18,198.61,189.16,02-Sep-2025
BOSCHLTD,EQ,41110,-0.5,41835,41575,02-Sep-2025
BSLGOLDETF,EQ,93.14,0.76,94.75,94.59,02-Sep-2025
CARTRADE,EQ,2584,4.83,2595,2534.8,19-Aug-2025
CCL,EQ,933.25,1.04,962,940,19-Aug-2025
COMSYN,EQ,149.95,3.13,153.5,149.4,01-Sep-2025
CURRENT,ST,153.45,0.95,159.6,0,-
DALBHARAT,EQ,2410,0.32,2426.8,2424.8,01-Sep-2025
DECCANCE,EQ,1110,2.2,1150,1109.3,18-Jul-2025
DELHIVERY,EQ,479,1.47,485.7,480.7,25-Aug-2025
EGOLD,EQ,106.5,1.57,106.5,105.8,01-Sep-2025
ESILVER,EQ,136,10.36,148,125.47,01-Sep-2025
FISCHER,EQ,1072.8,0.89,1100,1095,02-Sep-2025
GICL,SM,130,13.24,137,129.8,26-Jun-2025
GOLDBEES,EQ,87.87,1.45,88,87.4,02-Sep-2025
GOLDETF,EQ,103.23,1.27,103.39,102.79,02-Sep-2025
GOLDETFADD,EQ,103.25,1.4,103.82,102.31,02-Sep-2025
GOLDKART,ST,231,2.67,231,231,25-Aug-2025
GOLDSHARE,EQ,89.2,1.36,90,89.3,02-Sep-2025
GROWWGOLD,EQ,104.18,1.38,104.48,103.95,02-Sep-2025
GROWWNXT50,EQ,67.61,0.79,68.45,67.97,02-Sep-2025
GROWWSLVR,EQ,122.81,1.19,124,123.75,02-Sep-2025
HBLENGINE,EQ,851,-0.4,872.9,864.6,02-Sep-2025
HCG,EQ,693.95,3.64,708,701.1,20-Aug-2025
HDFCGOLD,EQ,90.77,1.43,91.72,90.95,02-Sep-2025
